CODIGO,NOMBRE PRODUCTO,TAMAÑO,PRECIO DE VENTA,ICO,PV+ ICO,COSTO DE VENTA UNIT,CANTIDAD VENDIDA MES,VENTA MES,,,,
C0001,7 Layer,MOLDE COMPLETO,,8%,$ 0," $  168,186.25 ",,,,,,
C0002,Almond Cake,MOLDE COMPLETO,"$ 150,926",8%,"$ 163,000"," $  133,811.56 ",,,,,,
C0003,Apple Cake,MOLDE COMPLETO,,8%,$ 0," $  76,446.34 ",,,,,,
C0004,Apple Cider Dream,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0005,Apple Crumble,MOLDE COMPLETO,"$ 134,259",8%,"$ 145,000"," $  88,412.53 ",,,,,,
C0006,Biscoff Cake,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0007,Blackout Chocolate,MOLDE COMPLETO,"$ 180,556",8%,"$ 195,000"," $  142,090.41 ",,0,,,,
C0008,Caramel Pecan Cake,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0009,Cheesecake de Pistachio,MOLDE COMPLETO,"$ 214,815",8%,"$ 232,000"," $  126,247.38 ",,,,,,
C0010,Cheesecake Guayaba,MOLDE COMPLETO,,8%,$ 0," $  158,548.54 ",,,,,,
C0011,Cheesecake Naranja,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0012,Cheesecake Pistachio,MOLDE COMPLETO,"$ 210,185",8%,"$ 227,000",,,,,,,
C0013,Coconut cake,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0014,Dubai chocolate,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0015,Grandma June Choco,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0016,Grandma June Vainilla,MOLDE COMPLETO,"$ 122,222",8%,"$ 132,000"," $  92,602.49 ",,,,,,
C0017,Holy Nut and Berry Bites x4,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0018,Key Lime Fantasy,MOLDE COMPLETO,,8%,$ 0," $  109,806.29 ",,,,,,
C0019,Labne Cake,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0020,Molten Lava Pistachio,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0021,Orange Pecan,MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0022,Pistachio Knots,MOLDE COMPLETO,,8%,$ 0,,,,"Ojo , cual es ?",,,
C0023,Pistachio Knots (4),MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0024,Pistachio Knots (8),MOLDE COMPLETO,,8%,$ 0,,,,,,,
C0025,Pistachio Overload,MOLDE COMPLETO,,8%,$ 0,,,,,,,
